Height, Horizontal_Wind_Direction, Horizontal_Wind_Speed, Vertical_Wind_Speed
9, 259.11, 0.78, -2.53
26, 270.0, 1.19, -0.88
43, 270.41, 47.83, -18.74
61, 220.89, 0.52, -52.16
78, 209.99, 0.51, -52.33
96, 300.0, 0.2, -92.41
113, 351.6, 6.42, 0.23
130, 343.24, 7.09, 0.11
148, 339.15, 7.43, 0.05
165, 336.18, 8.23, -0.53
183, 335.85, 9.17, -1.09
200, 338.06, 9.13, -1.52
217, 343.07, 8.49, -1.3
235, 346.41, 8.71, -0.92
252, 345.41, 9.82, -0.67
269, 346.58, 11.39, -0.63
287, 350.54, 11.93, -0.33
304, 357.21, 12.27, -0.1
322, 355.83, 12.88, 0.12
339, 353.41, 14.12, -0.12
356, 2.29, 14.93, -0.74
374, 2.2, 15.52, -0.97
391, 356.9, 15.77, -0.46
409, 358.43, 15.51, -1.15
426, 1.68, 14.53, -0.59
443, 5.82, 14.3, -0.22
461, 103.32, 47.22, -11.84
478, 354.34, 14.69, -1.07
496, 344.37, 14.87, -1.16
513, 354.93, 14.48, -0.28
530, 351.25, 13.45, -0.3
548, 349.26, 13.73, -0.51
565, 349.59, 13.21, -0.45
582, 347.69, 12.8, -0.52
600, 345.23, 12.37, -0.38
617, 344.16, 11.87, -0.28
635, 343.76, 11.59, -0.23
652, 342.67, 11.45, -0.14
669, 342.52, 11.35, -0.12
687, 341.22, 11.13, -0.16
704, 340.39, 10.92, -0.1
722, 339.85, 10.64, -0.1
739, 338.01, 10.25, -0.07
756, 337.28, 9.71, -0.05
774, 335.85, 9.17, -0.07
791, 335.28, 8.56, -0.01
808, 333.82, 8.12, -0.1
826, 331.82, 7.76, -0.08
843, 329.62, 7.42, -0.1
861, 327.21, 7.08, -0.13
878, 324.37, 7.03, -0.16
895, 321.49, 6.98, -0.13
913, 317.73, 6.72, -0.16
930, 315.52, 6.69, -0.18
948, 311.69, 6.74, -0.24
965, 308.33, 7.06, -0.35
982, 305.35, 7.32, -0.39
1000, 304.47, 7.65, -0.47
1017, 302.42, 8.08, -0.76
1035, 298.82, 8.27, -0.39
1052, 295.55, 8.79, 0.78
1069, 301.56, 9.41, 1.62
1087, 315.93, 9.32, 1.47
1104, 315.14, 9.79, 0.99
1121, 309.39, 9.93, 0.33
1139, 309.55, 10.28, 0.29
1156, 307.45, 10.52, -0.05
1174, 309.21, 10.12, 0.2
1191, 313.9, 11.0, 0.18
1208, 297.26, 8.92, -0.61
1226, 305.99, 9.8, -0.43
1243, 309.92, 9.89, -0.19
1261, 313.37, 10.32, -0.06
1278, 305.26, 9.29, -0.54
1295, 306.36, 8.47, -0.56
1313, 319.28, 10.59, 0.23
1330, 315.44, 10.57, -0.15
1347, 317.32, 10.31, 0.02
1365, 306.46, 9.86, -0.53
1382, 312.47, 9.48, 0.25
1400, 315.42, 11.54, 0.47
1417, 306.31, 9.31, 0.25
1434, 302.47, 9.9, -0.07
1452, 191.48, 43.7, -10.6
1469, 296.92, 11.09, -0.56
1487, 306.12, 11.19, -0.06
1504, 307.8, 10.68, 0.27
1521, 307.97, 9.84, 0.44
1539, 294.74, 10.23, -0.91
1556, 306.27, 10.15, 0.18
1573, 309.44, 12.47, -0.14
1591, 300.46, 10.58, -0.29
1608, 305.5, 10.68, 0.18
1626, 291.12, 12.16, -1.16
1643, 299.56, 11.08, -0.29
1660, 295.05, 9.88, -0.37
1678, 311.61, 8.89, 0.45
1695, 299.34, 7.43, 0.03
1713, 346.49, 34.68, 6.02
1730, 189.76, 43.25, -10.33
1747, 300.62, 7.93, -0.19
1765, 286.3, 6.84, -0.88
1782, 292.11, 7.45, -0.81
1800, 291.73, 7.71, -1.01
1817, 295.47, 7.55, -0.92
1834, 305.01, 7.81, -0.14
1852, 313.9, 9.23, 0.13
1869, 187.37, 46.56, -10.93
1886, 302.75, 7.1, -0.18
1904, 188.29, 45.52, -10.48
1921, 299.34, 7.43, -0.21
1939, 351.95, 46.88, 9.33
1956, 315.86, 9.67, 0.93
1973, 287.88, 6.09, -0.54
1991, 306.77, 7.24, 0.05
2008, 293.0, 6.3, 0.16
2026, 308.08, 6.07, 0.72
2043, 283.53, 4.21, 0.45
2060, 319.55, 8.41, 0.71
2078, 188.14, 42.17, -9.57
2095, 297.46, 3.84, 0.37
2112, 348.83, 31.26, 6.09
2130, 319.11, 5.73, 1.66
2147, 354.68, 45.04, 10.32
2165, 353.17, 50.91, 11.6
2182, 345.45, 24.77, 5.31
2199, 272.68, 6.32, 0.98
2217, 351.05, 44.95, 10.4
2234, 288.44, 6.38, 1.29
2252, 150.32, 34.96, 3.9
2269, 350.51, 45.52, 10.34
2286, 190.41, 46.24, -9.66
2304, 281.12, 8.17, 1.13
2321, 235.05, 9.88, -0.09
2339, 124.29, 43.34, 13.79
2356, 274.34, 8.46, 1.04
2373, 347.54, 44.26, 9.66
2391, 275.29, 11.22, 0.28
2408, 297.2, 8.72, 1.86
2425, 272.64, 8.53, 0.98
2443, 269.67, 8.44, 1.18
2460, 308.07, 10.94, 2.43
2478, 286.56, 8.81, 1.89
2495, 266.33, 8.46, 0.95
2512, 287.11, 10.71, 0.82
2530, 198.64, 28.0, -5.34
2547, 350.7, 49.58, 11.79
