     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
     2.5,    50.5, 1009.39,   25.86,   57.96,      18,      28,      28,    5.32,  261.83,  298.21,   16.94,   11.91,   12.05,  301.18,  300.38,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
     7.5,    55.5, 1008.72,   25.60,   58.49,      17,      27,      28,    5.54,  263.44,  298.01,   16.85,   11.84,   11.99,  300.91,  300.17,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    12.5,    60.5, 1008.05,   25.42,   58.89,      16,      26,      27,    5.58,  265.11,  297.88,   16.78,   11.80,   11.94,  300.72,  300.03,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    17.5,    65.5, 1007.47,   25.23,   59.27,      16,      25,      26,    5.62,  266.76,  297.75,   16.71,   11.75,   11.89,  300.52,  299.88,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    22.5,    70.5, 1006.89,   25.05,   59.64,      16,      25,      26,    5.91,  267.17,  297.62,   16.64,   11.71,   11.85,  300.33,  299.74,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    27.5,    75.5, 1006.22,   24.88,   60.00,      16,      25,      26,    5.99,  267.21,  297.50,   16.57,   11.67,   11.80,  300.15,  299.62,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    32.5,    80.5, 1005.81,   24.77,   60.23,      16,      25,      26,    6.06,  268.13,  297.43,   16.53,   11.64,   11.78,  300.04,  299.54,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    37.5,    85.5, 1005.23,   24.62,   60.55,      16,      25,      26,    6.15,  269.43,  297.33,   16.47,   11.60,   11.74,  299.88,  299.43,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    42.5,    90.5, 1004.63,   24.48,   60.84,      16,      25,      26,    6.28,  270.45,  297.24,   16.42,   11.57,   11.70,  299.73,  299.33,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    47.5,    95.5, 1004.21,   24.39,   61.02,      16,      25,      26,    6.38,  270.06,  297.19,   16.38,   11.55,   11.68,  299.64,  299.28,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    52.5,   100.5, 1003.58,   24.28,   61.27,      16,      25,      26,    6.48,  269.64,  297.12,   16.33,   11.52,   11.65,  299.52,  299.21,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    57.5,   105.5, 1002.98,   24.17,   61.50,      16,      25,      26,    6.51,  269.72,  297.07,   16.29,   11.49,   11.63,  299.40,  299.15,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    62.5,   110.5, 1002.37,   24.08,   61.69,      16,      26,      27,    6.53,  269.92,  297.03,   16.26,   11.47,   11.61,  299.31,  299.11,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    67.5,   115.5, 1001.75,   24.00,   61.86,      17,      28,      29,    6.52,  270.47,  297.00,   16.22,   11.46,   11.59,  299.22,  299.07,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    72.5,   120.5, 1001.33,   23.95,   61.96,      18,      29,      31,    6.51,  270.84,  296.99,   16.20,   11.45,   11.58,  299.17,  299.06,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    77.5,   125.5, 1000.70,   23.89,   62.10,      19,      31,      34,    6.51,  271.39,  296.98,   16.18,   11.44,   11.57,  299.11,  299.05,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    82.5,   130.5, 1000.08,   23.83,   62.21,      19,      33,      36,    6.51,  271.94,  296.97,   16.15,   11.43,   11.56,  299.05,  299.04,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    87.5,   135.5,  999.46,   23.79,   62.30,      20,      34,      38,    6.52,  272.03,  296.98,   16.13,   11.42,   11.55,  299.00,  299.05,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    92.5,   140.5,  998.86,   23.75,   62.37,      20,      33,      37,    6.58,  271.22,  296.99,   16.12,   11.41,   11.54,  298.96,  299.06,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    97.5,   145.5,  998.35,   23.73,   62.41,      20,      33,      36,    6.62,  270.70,  297.02,   16.10,   11.41,   11.54,  298.94,  299.08,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   102.5,   150.5,  997.73,   23.71,   62.44,      20,      33,      36,    6.73,  271.95,  297.05,   16.09,   11.41,   11.54,  298.92,  299.12,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   107.5,   155.5,  997.23,   23.68,   62.47,      20,      33,      36,    6.86,  270.91,  297.07,   16.08,   11.40,   11.53,  298.90,  299.13,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   112.5,   160.5,  996.48,   23.66,   62.49,      20,      33,      36,    6.86,  270.89,  297.11,   16.06,   11.40,   11.53,  298.87,  299.18,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   117.5,   165.5,  996.13,   23.65,   62.50,      20,      33,      36,    6.86,  271.53,  297.13,   16.06,   11.40,   11.53,  298.86,  299.19,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   122.5,   170.5,  995.80,   23.64,   62.50,      20,      33,      36,    6.86,  272.17,  297.15,   16.05,   11.40,   11.53,  298.85,  299.21,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   127.5,   175.5,  994.97,   23.63,   62.49,      20,      33,      36,    6.91,  271.02,  297.21,   16.03,   11.40,   11.53,  298.84,  299.27,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   132.5,   180.5,  994.30,   23.62,   62.46,      20,      33,      36,    6.93,  270.58,  297.26,   16.02,   11.39,   11.53,  298.84,  299.32,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   137.5,   185.5,  993.90,   23.62,   62.43,      20,      33,      36,    6.95,  270.29,  297.29,   16.01,   11.39,   11.52,  298.83,  299.36,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   142.5,   190.5,  993.27,   23.62,   62.38,      20,      33,      36,    6.92,  270.25,  297.35,   16.00,   11.39,   11.52,  298.84,  299.41,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   147.5,   195.5,  992.65,   23.63,   62.32,      20,      33,      36,    6.90,  270.21,  297.41,   15.99,   11.39,   11.52,  298.84,  299.47,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   152.5,   200.5,  992.23,   23.64,   62.27,      20,      33,      37,    6.89,  270.18,  297.45,   15.99,   11.39,   11.52,  298.85,  299.52,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   157.5,   205.5,  991.61,   23.65,   62.18,      20,      33,      37,    6.86,  270.14,  297.52,   15.98,   11.39,   11.53,  298.87,  299.59,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   162.5,   210.5,  990.97,   23.67,   62.08,      20,      33,      37,    6.84,  270.10,  297.59,   15.97,   11.40,   11.53,  298.89,  299.66,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   167.5,   215.5,  990.53,   23.69,   62.01,      20,      33,      36,    6.85,  270.01,  297.65,   15.97,   11.40,   11.53,  298.90,  299.71,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   172.5,   220.5,  989.94,   23.71,   61.89,      19,      33,      36,    6.86,  269.44,  297.72,   15.96,   11.40,   11.53,  298.93,  299.79,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   177.5,   225.5,  989.34,   23.74,   61.77,      19,      33,      36,    6.82,  268.99,  297.80,   15.95,   11.40,   11.53,  298.95,  299.87,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   182.5,   230.5,  988.72,   23.76,   61.65,      20,      33,      35,    6.74,  268.69,  297.88,   15.95,   11.41,   11.54,  298.98,  299.95,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   187.5,   235.5,  988.05,   23.78,   61.54,      20,      32,      34,    6.59,  267.49,  297.96,   15.94,   11.41,   11.54,  299.00,  300.03,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   192.5,   240.5,  987.59,   23.80,   61.47,      20,      32,      34,    6.48,  266.53,  298.01,   15.93,   11.41,   11.54,  299.01,  300.08,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   197.5,   245.5,  987.01,   23.81,   61.37,      20,      32,      34,    6.14,  264.05,  298.07,   15.92,   11.41,   11.54,  299.03,  300.15,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   202.5,   250.5,  986.40,   23.82,   61.28,      20,      32,      34,    5.96,  262.90,  298.14,   15.91,   11.41,   11.54,  299.04,  300.21,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   207.5,   255.5,  986.04,   23.83,   61.23,      20,      32,      34,    5.75,  262.24,  298.18,   15.90,   11.40,   11.54,  299.04,  300.25,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   212.5,   260.5,  985.40,   23.83,   61.17,      20,      32,      34,    5.55,  262.65,  298.23,   15.89,   11.40,   11.53,  299.04,  300.30,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   217.5,   265.5,  984.76,   23.82,   61.12,      21,      33,      36,    5.46,  263.03,  298.28,   15.87,   11.40,   11.53,  299.04,  300.35,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   222.5,   270.5,  984.15,   23.81,   61.10,      22,      35,      38,    5.43,  263.37,  298.32,   15.85,   11.39,   11.52,  299.02,  300.39,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   227.5,   275.5,  983.54,   23.79,   61.09,      22,      36,      40,    5.40,  263.73,  298.35,   15.83,   11.38,   11.51,  299.00,  300.42,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   232.5,   280.5,  983.13,   23.77,   61.09,      23,      37,      42,    5.38,  263.97,  298.37,   15.82,   11.37,   11.50,  298.98,  300.44,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   237.5,   285.5,  982.52,   23.74,   61.12,      24,      39,      44,    5.36,  264.35,  298.39,   15.79,   11.36,   11.49,  298.95,  300.46,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   242.5,   290.5,  981.91,   23.70,   61.16,      25,      41,      47,    5.33,  264.73,  298.41,   15.77,   11.35,   11.48,  298.91,  300.47,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   247.5,   295.5,  981.50,   23.67,   61.20,      25,      42,      48,    5.31,  265.00,  298.41,   15.75,   11.34,   11.47,  298.88,  300.48,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   252.5,   300.5,  981.07,   23.64,   61.24,      26,      43,      50,    5.29,  265.26,  298.42,   15.73,   11.34,   11.47,  298.84,  300.48,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   257.5,   305.5,  980.31,   23.59,   61.33,      26,      43,      50,    5.23,  266.11,  298.43,   15.70,   11.32,   11.45,  298.79,  300.49,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   262.5,   310.5,  979.51,   23.53,   61.42,      25,      42,      49,    5.16,  266.99,  298.44,   15.67,   11.31,   11.44,  298.73,  300.50,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   267.5,   315.5,  979.07,   23.49,   61.49,      25,      42,      49,    5.12,  267.59,  298.44,   15.65,   11.30,   11.43,  298.68,  300.50,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   272.5,   320.5,  978.68,   23.43,   61.60,      25,      42,      49,    4.95,  268.14,  298.41,   15.62,   11.28,   11.41,  298.62,  300.47,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   277.5,   325.5,  977.90,   23.36,   61.72,      25,      42,      49,    4.82,  270.14,  298.41,   15.59,   11.27,   11.40,  298.55,  300.47,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   282.5,   330.5,  977.45,   23.32,   61.80,      25,      42,      49,    4.78,  270.23,  298.41,   15.57,   11.26,   11.39,  298.51,  300.46,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   287.5,   335.5,  976.99,   23.26,   61.92,      25,      42,      49,    4.72,  270.35,  298.39,   15.54,   11.24,   11.37,  298.44,  300.43,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   292.5,   340.5,  976.32,   23.17,   62.07,      25,      42,      49,    4.63,  270.49,  298.36,   15.50,   11.22,   11.35,  298.35,  300.40,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   297.5,   345.5,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   302.5,   350.5,  975.44,   23.11,   62.18,      25,      42,      49,    4.58,  273.87,  298.38,   15.47,   11.21,   11.34,  298.29,  300.42,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   307.5,   355.5,  974.73,   23.06,   62.28,      23,      40,      45,    4.61,  274.50,  298.39,   15.44,   11.20,   11.33,  298.23,  300.42,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   312.5,   360.5,  974.14,   23.01,   62.37,      21,      37,      41,    4.64,  275.11,  298.38,   15.42,   11.19,   11.32,  298.18,  300.42,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   317.5,   365.5,  973.54,   22.96,   62.45,      19,      34,      37,    4.67,  275.71,  298.39,   15.40,   11.18,   11.31,  298.13,  300.42,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   322.5,   370.5,  972.94,   22.92,   62.53,      17,      32,      33,    4.70,  276.30,  298.40,   15.37,   11.17,   11.30,  298.08,  300.43,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   327.5,   375.5,  972.51,   22.89,   62.57,      17,      32,      33,    4.73,  276.96,  298.41,   15.36,   11.16,   11.29,  298.06,  300.44,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   332.5,   380.5,  971.88,   22.86,   62.62,      17,      32,      33,    4.78,  277.92,  298.43,   15.34,   11.16,   11.28,  298.02,  300.46,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   337.5,   385.5,  971.30,   22.82,   62.66,      17,      32,      33,    4.66,  280.76,  298.45,   15.32,   11.15,   11.28,  297.99,  300.48,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   342.5,   390.5,  970.89,   22.81,   62.68,      17,      32,      33,    4.71,  279.85,  298.47,   15.31,   11.15,   11.27,  297.97,  300.50,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   347.5,   395.5,  970.28,   22.78,   62.70,      17,      32,      33,    4.75,  277.46,  298.50,   15.29,   11.14,   11.27,  297.94,  300.52,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   352.5,   400.5,  969.67,   22.76,   62.71,      17,      32,      33,    4.74,  275.34,  298.53,   15.27,   11.13,   11.26,  297.92,  300.56,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   357.5,   405.5,  969.07,   22.74,   62.71,      17,      32,      33,    4.72,  274.41,  298.56,   15.25,   11.13,   11.25,  297.90,  300.59,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   362.5,   410.5,  968.46,   22.73,   62.71,      16,      30,      30,    4.62,  274.75,  298.60,   15.24,   11.12,   11.25,  297.88,  300.63,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   367.5,   415.5,  968.04,   22.72,   62.70,      15,      27,      28,    4.55,  275.48,  298.63,   15.23,   11.12,   11.25,  297.87,  300.65,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   372.5,   420.5,  967.47,   22.70,   62.68,      15,      27,      28,    4.47,  277.42,  298.66,   15.21,   11.12,   11.24,  297.86,  300.69,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   377.5,   425.5,  966.88,   22.69,   62.66,      14,      26,      27,    4.45,  277.88,  298.70,   15.19,   11.11,   11.24,  297.84,  300.73,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   382.5,   430.5,  966.48,   22.68,   62.65,      14,      25,      26,    4.44,  278.19,  298.73,   15.18,   11.11,   11.23,  297.83,  300.75,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   387.5,   435.5,  965.86,   22.66,   62.64,      14,      25,      26,    4.40,  279.25,  298.77,   15.16,   11.10,   11.23,  297.82,  300.79,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   392.5,   440.5,  965.24,   22.65,   62.63,      14,      24,      25,    4.36,  280.35,  298.80,   15.14,   11.09,   11.22,  297.80,  300.82,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   397.5,   445.5,  964.65,   22.62,   62.62,      14,      24,      25,    4.28,  279.82,  298.83,   15.12,   11.08,   11.21,  297.77,  300.85,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   402.5,   450.5,  963.94,   22.60,   62.63,      14,      24,      25,    4.20,  279.25,  298.87,   15.09,   11.07,   11.20,  297.74,  300.89,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   407.5,   455.5,  963.34,   22.57,   62.64,      14,      24,      25,    4.19,  280.47,  298.90,   15.08,   11.07,   11.19,  297.72,  300.92,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   412.5,   460.5,  963.00,   22.55,   62.65,      14,      24,      25,    4.10,  282.89,  298.91,   15.06,   11.06,   11.18,  297.70,  300.93,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   417.5,   465.5,  962.65,   22.53,   62.66,      14,      24,      25,    4.01,  285.54,  298.92,   15.04,   11.05,   11.17,  297.67,  300.93,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   422.5,   470.5,  961.93,   22.49,   62.69,      14,      24,      25,    4.00,  289.04,  298.94,   15.01,   11.04,   11.16,  297.63,  300.96,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   427.5,   475.5,  961.48,   22.46,   62.71,      14,      24,      25,    3.90,  289.57,  298.95,   14.98,   11.02,   11.15,  297.59,  300.96,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   432.5,   480.5,  960.89,   22.43,   62.73,      14,      24,      25,    3.83,  297.19,  298.97,   14.97,   11.02,   11.14,  297.57,  300.98,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   437.5,   485.5,  960.37,   22.41,   62.75,      14,      25,      26,    3.84,  297.53,  298.99,   14.95,   11.01,   11.13,  297.54,  301.00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   442.5,   490.5,  959.78,   22.37,   62.78,      14,      26,      27,    3.86,  298.03,  299.01,   14.92,   11.00,   11.12,  297.50,  301.02,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   447.5,   495.5,  959.31,   22.33,   62.81,      13,      25,      27,    3.88,  299.40,  299.01,   14.88,   10.98,   11.10,  297.45,  301.01,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   452.5,   500.5,  958.79,   22.29,   62.83,      13,      25,      27,    3.88,  300.59,  299.02,   14.86,   10.97,   11.09,  297.42,  301.02,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   457.5,   505.5,  958.29,   22.27,   62.84,      13,      25,      27,    3.88,  301.38,  299.05,   14.84,   10.96,   11.08,  297.40,  301.05,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
