     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
     2.5,     2.5, 1015.71,   20.73,   84.07,      14,      24,      25,    3.19,  347.67,  292.57,   17.94,   12.59,   12.75,  296.14,  294.82,   27.15,     NaN,     NaN,  300.00,     NaN,     NaN,   0.117
     7.5,     7.5, 1015.10,   20.78,   83.91,      15,      25,      26,    3.26,  348.46,  292.67,   17.96,   12.61,   12.77,  296.19,  294.92,   26.95,     NaN,     NaN,  315.75,     NaN,     NaN,   0.118
    12.5,    12.5, 1014.56,   20.82,   83.79,      15,      25,      26,    3.29,  347.46,  292.76,   17.97,   12.63,   12.79,  296.23,  295.01,   26.80,     NaN,     NaN,  321.00,     NaN,     NaN,   0.118
    17.5,    17.5, 1013.90,   20.86,   83.68,      15,      25,      26,    3.29,  346.80,  292.85,   17.99,   12.65,   12.81,  296.28,  295.11,   26.80,     NaN,     NaN,  321.00,     NaN,     NaN,   0.118
    22.5,    22.5,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    27.5,    27.5, 1012.74,   20.90,   83.53,      15,      25,      26,    3.30,  345.71,  292.99,   18.01,   12.68,   12.84,  296.33,  295.26,   25.90,     NaN,     NaN,  292.00,     NaN,     NaN,   0.118
    32.5,    32.5, 1012.27,   20.93,   83.44,      15,      25,      26,    3.30,  345.17,  293.06,   18.02,   12.69,   12.86,  296.36,  295.33,   23.20,     NaN,     NaN,  292.00,     NaN,     NaN,   0.118
    37.5,    37.5, 1011.65,   20.96,   83.36,      15,      25,      26,    3.32,  343.85,  293.14,   18.03,   12.71,   12.87,  296.39,  295.41,   25.88,     NaN,     NaN,  285.75,     NaN,     NaN,   0.118
    42.5,    42.5, 1010.98,   20.98,   83.30,      15,      25,      26,    3.33,  342.72,  293.21,   18.04,   12.73,   12.89,  296.41,  295.49,   27.60,     NaN,     NaN,  267.00,     NaN,     NaN,   0.118
    47.5,    47.5, 1010.22,   20.99,   83.28,      15,      25,      26,    3.30,  342.50,  293.29,   18.04,   12.74,   12.90,  296.43,  295.56,   27.70,     NaN,     NaN,  267.00,     NaN,     NaN,   0.117
    52.5,    52.5, 1009.75,   21.00,   83.26,      21,      35,      39,    3.28,  342.15,  293.33,   18.04,   12.75,   12.91,  296.43,  295.61,   28.43,     NaN,     NaN,  261.67,     NaN,     NaN,   0.117
    57.5,    57.5, 1009.24,   21.00,   83.26,      30,      50,      59,    3.27,  341.61,  293.37,   18.05,   12.75,   12.92,  296.44,  295.66,   29.53,     NaN,     NaN,  253.67,     NaN,     NaN,   0.117
    62.5,    62.5,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    67.5,    67.5, 1008.25,   20.99,   83.29,      33,      54,      66,    3.24,  341.02,  293.45,   18.04,   12.77,   12.93,  296.43,  295.74,   29.35,     NaN,     NaN,  241.00,     NaN,     NaN,   0.116
    72.5,    72.5, 1007.48,   20.98,   83.32,      33,      53,      65,    3.23,  340.61,  293.51,   18.04,   12.77,   12.94,  296.42,  295.79,   28.80,     NaN,     NaN,  231.00,     NaN,     NaN,   0.115
    77.5,    77.5, 1006.86,   20.95,   83.42,      33,      53,      65,    3.21,  339.59,  293.53,   18.03,   12.77,   12.94,  296.39,  295.82,   29.10,     NaN,     NaN,  231.00,     NaN,     NaN,   0.113
    82.5,    82.5, 1006.29,   20.91,   83.55,      33,      53,      65,    3.21,  338.66,  293.54,   18.02,   12.77,   12.93,  296.35,  295.82,   29.40,     NaN,     NaN,  231.00,     NaN,     NaN,   0.110
    87.5,    87.5, 1005.73,   20.89,   83.63,      33,      53,      65,    3.19,  338.63,  293.56,   18.01,   12.77,   12.93,  296.33,  295.84,   29.50,     NaN,     NaN,  214.00,     NaN,     NaN,   0.110
    92.5,    92.5, 1005.17,   20.86,   83.73,      33,      53,      65,    3.17,  338.55,  293.58,   18.00,   12.77,   12.93,  296.30,  295.86,   29.60,     NaN,     NaN,  214.00,     NaN,     NaN,   0.108
    97.5,    97.5, 1004.67,   20.83,   83.83,      33,      53,      65,    3.15,  338.49,  293.59,   17.99,   12.77,   12.93,  296.27,  295.87,   29.70,     NaN,     NaN,  214.00,     NaN,     NaN,   0.107
   102.5,   102.5, 1004.01,   20.78,   84.00,      33,      53,      65,    3.11,  338.25,  293.59,   17.97,   12.76,   12.93,  296.22,  295.88,   38.22,     NaN,     NaN,  218.00,     NaN,     NaN,   0.107
   107.5,   107.5, 1003.31,   20.72,   84.18,      33,      53,      65,    3.09,  338.17,  293.60,   17.95,   12.75,   12.92,  296.16,  295.88,   43.70,     NaN,     NaN,  218.00,     NaN,     NaN,   0.107
   112.5,   112.5, 1002.89,   20.68,   84.32,      33,      53,      65,    3.09,  337.73,  293.59,   17.94,   12.75,   12.91,  296.12,  295.88,   44.10,     NaN,     NaN,  218.00,     NaN,     NaN,   0.105
   117.5,   117.5, 1002.42,   20.64,   84.45,      33,      53,      65,    3.10,  337.61,  293.59,   17.93,   12.74,   12.91,  296.08,  295.87,   44.80,     NaN,     NaN,  216.00,     NaN,     NaN,   0.105
   122.5,   122.5, 1001.75,   20.58,   84.67,      32,      52,      63,    3.12,  337.03,  293.58,   17.91,   12.74,   12.90,  296.01,  295.87,   45.65,     NaN,     NaN,  214.00,     NaN,     NaN,   0.104
   127.5,   127.5, 1001.07,   20.52,   84.90,      32,      51,      62,    3.13,  336.37,  293.58,   17.88,   12.73,   12.89,  295.95,  295.86,   42.40,     NaN,     NaN,  214.00,     NaN,     NaN,   0.103
   132.5,   132.5, 1000.61,   20.47,   85.05,      32,      51,      63,    3.14,  336.15,  293.57,   17.87,   12.72,   12.89,  295.90,  295.85,   39.00,     NaN,     NaN,  214.00,     NaN,     NaN,   0.103
   137.5,   137.5,  999.97,   20.41,   85.29,      32,      51,      64,    3.16,  335.22,  293.56,   17.85,   12.71,   12.88,  295.83,  295.83,   33.08,     NaN,     NaN,  190.83,     NaN,     NaN,   0.103
   142.5,   142.5,  999.31,   20.34,   85.54,      33,      52,      63,    3.18,  335.02,  293.55,   17.83,   12.71,   12.87,  295.76,  295.82,   36.93,     NaN,     NaN,  193.33,     NaN,     NaN,   0.102
   147.5,   147.5,  998.88,   20.29,   85.70,      33,      52,      63,    3.19,  334.88,  293.54,   17.82,   12.70,   12.86,  295.72,  295.81,   39.50,     NaN,     NaN,  195.00,     NaN,     NaN,   0.102
   152.5,   152.5,  998.26,   20.23,   85.95,      33,      52,      63,    3.20,  334.56,  293.52,   17.80,   12.69,   12.86,  295.65,  295.80,   43.60,     NaN,     NaN,  195.00,     NaN,     NaN,   0.105
   157.5,   157.5,  997.49,   20.16,   86.20,      33,      52,      63,    3.22,  334.25,  293.52,   17.78,   12.69,   12.85,  295.58,  295.79,   47.70,     NaN,     NaN,  195.00,     NaN,     NaN,   0.109
   162.5,   162.5,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   167.5,   167.5,  996.58,   20.10,   86.45,      33,      52,      63,    3.24,  333.58,  293.54,   17.76,   12.69,   12.85,  295.52,  295.81,   46.98,     NaN,     NaN,  193.00,     NaN,     NaN,   0.111
   172.5,   172.5,  995.91,   20.02,   86.77,      33,      52,      63,    3.25,  332.88,  293.51,   17.74,   12.68,   12.84,  295.43,  295.78,   37.90,     NaN,     NaN,  193.00,     NaN,     NaN,   0.118
   177.5,   177.5,  995.32,   19.96,   87.01,      33,      52,      63,    3.26,  332.31,  293.50,   17.72,   12.67,   12.83,  295.37,  295.77,   34.00,     NaN,     NaN,  205.00,     NaN,     NaN,   0.118
   182.5,   182.5,  994.82,   19.92,   87.16,      33,      52,      63,    3.27,  332.17,  293.50,   17.72,   12.67,   12.83,  295.33,  295.77,   34.00,     NaN,     NaN,  217.00,     NaN,     NaN,   0.118
   187.5,   187.5,  994.11,   19.88,   87.32,      33,      52,      63,    3.23,  332.46,  293.53,   17.71,   12.67,   12.84,  295.30,  295.79,   34.00,     NaN,     NaN,  217.00,     NaN,     NaN,   0.129
   192.5,   192.5,  993.61,   19.83,   87.54,      33,      52,      63,    3.22,  332.62,  293.51,   17.69,   12.67,   12.83,  295.24,  295.78,   34.08,     NaN,     NaN,  231.25,     NaN,     NaN,   0.129
   197.5,   197.5,  993.01,   19.77,   87.76,      33,      52,      63,    3.20,  332.54,  293.51,   17.68,   12.67,   12.83,  295.19,  295.78,   34.20,     NaN,     NaN,  236.00,     NaN,     NaN,   0.129
   202.5,   202.5,  992.42,   19.74,   87.90,      32,      50,      61,    3.19,  332.58,  293.53,   17.67,   12.67,   12.83,  295.15,  295.80,   34.20,     NaN,     NaN,  240.00,     NaN,     NaN,   0.132
   207.5,   207.5,  991.83,   19.71,   88.03,      30,      49,      59,    3.18,  332.62,  293.55,   17.67,   12.67,   12.83,  295.12,  295.82,   34.20,     NaN,     NaN,  244.00,     NaN,     NaN,   0.134
   212.5,   212.5,  991.31,   19.68,   88.17,      29,      47,      57,    3.17,  332.66,  293.56,   17.66,   12.67,   12.83,  295.09,  295.83,   34.20,     NaN,     NaN,  248.00,     NaN,     NaN,   0.137
   217.5,   217.5,  990.81,   19.63,   88.36,      29,      46,      56,    3.16,  332.52,  293.56,   17.65,   12.67,   12.83,  295.04,  295.82,   34.35,     NaN,     NaN,  248.00,     NaN,     NaN,   0.141
   222.5,   222.5,  990.31,   19.59,   88.54,      29,      46,      56,    3.15,  332.39,  293.56,   17.64,   12.67,   12.83,  295.00,  295.82,   34.50,     NaN,     NaN,  248.00,     NaN,     NaN,   0.144
   227.5,   227.5,  989.80,   19.56,   88.65,      29,      46,      56,    3.13,  332.41,  293.57,   17.63,   12.67,   12.83,  294.97,  295.84,   34.40,     NaN,     NaN,  266.67,     NaN,     NaN,   0.145
   232.5,   232.5,  989.23,   19.54,   88.76,      29,      46,      56,    3.12,  332.44,  293.59,   17.63,   12.67,   12.83,  294.95,  295.86,   34.30,     NaN,     NaN,  285.33,     NaN,     NaN,   0.146
   237.5,   237.5,  988.51,   19.50,   88.91,      29,      46,      56,    3.08,  332.00,  293.62,   17.62,   12.67,   12.84,  294.91,  295.89,   34.15,     NaN,     NaN,  299.00,     NaN,     NaN,   0.147
   242.5,   242.5,  987.83,   19.45,   89.11,      29,      47,      57,    3.03,  329.87,  293.63,   17.61,   12.67,   12.83,  294.86,  295.90,   33.95,     NaN,     NaN,  294.00,     NaN,     NaN,   0.147
   247.5,   247.5,  987.10,   19.42,   89.24,      29,      47,      57,    2.96,  328.11,  293.65,   17.60,   12.67,   12.84,  294.83,  295.92,   33.90,     NaN,     NaN,  294.00,     NaN,     NaN,   0.147
   252.5,   252.5,  986.52,   19.39,   89.32,      29,      47,      57,    2.92,  326.89,  293.68,   17.59,   12.67,   12.84,  294.81,  295.95,   33.95,     NaN,     NaN,  302.50,     NaN,     NaN,   0.147
   257.5,   257.5,  986.00,   19.37,   89.40,      29,      47,      57,    2.89,  325.60,  293.70,   17.58,   12.68,   12.84,  294.78,  295.97,   34.00,     NaN,     NaN,  311.00,     NaN,     NaN,   0.147
   262.5,   262.5,  985.49,   19.34,   89.52,      29,      47,      57,    2.84,  321.88,  293.71,   17.57,   12.67,   12.83,  294.75,  295.98,   34.12,     NaN,     NaN,  311.00,     NaN,     NaN,   0.142
   267.5,   267.5,  985.02,   19.30,   89.64,      29,      47,      57,    2.81,  319.80,  293.72,   17.56,   12.67,   12.83,  294.71,  295.99,   34.20,     NaN,     NaN,  311.00,     NaN,     NaN,   0.142
   272.5,   272.5,  984.48,   19.28,   89.71,      30,      48,      58,    2.77,  316.52,  293.74,   17.55,   12.67,   12.83,  294.69,  296.01,   34.20,     NaN,     NaN,  313.00,     NaN,     NaN,   0.142
   277.5,   277.5,  983.95,   19.26,   89.78,      30,      48,      58,    2.75,  315.36,  293.76,   17.54,   12.67,   12.83,  294.67,  296.03,   34.17,     NaN,     NaN,  314.00,     NaN,     NaN,   0.138
   282.5,   282.5,  983.46,   19.23,   89.85,      30,      49,      59,    2.74,  314.18,  293.78,   17.53,   12.66,   12.83,  294.64,  296.05,   34.13,     NaN,     NaN,  315.00,     NaN,     NaN,   0.134
   287.5,   287.5,  982.81,   19.20,   89.95,      30,      49,      59,    2.72,  312.66,  293.80,   17.51,   12.66,   12.82,  294.61,  296.07,   34.05,     NaN,     NaN,  316.00,     NaN,     NaN,   0.130
   292.5,   292.5,  982.21,   19.16,   90.05,      31,      49,      58,    2.71,  311.71,  293.82,   17.49,   12.65,   12.81,  294.57,  296.08,   33.90,     NaN,     NaN,  316.00,     NaN,     NaN,   0.128
   297.5,   297.5,  981.67,   19.14,   90.12,      31,      49,      58,    2.69,  311.07,  293.84,   17.48,   12.65,   12.81,  294.54,  296.11,   33.80,     NaN,     NaN,  316.00,     NaN,     NaN,   0.127
   302.5,   302.5,  980.95,   19.11,   90.18,      31,      49,      58,    2.69,  308.58,  293.88,   17.46,   12.65,   12.81,  294.52,  296.14,   33.50,     NaN,     NaN,  317.00,     NaN,     NaN,   0.127
