     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
     2.5,    20.5, 1015.59,   18.93,   95.27,      30,      50,      60,    3.56,    2.50,  290.79,   18.16,   12.76,   12.93,  294.36,  293.06,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
     7.5,    25.5, 1014.97,   18.99,   95.18,      27,      48,      62,    3.88,  359.39,  290.90,   18.20,   12.80,   12.97,  294.42,  293.17,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    12.5,    30.5, 1014.26,   19.03,   95.12,      27,      48,      62,    4.02,  357.42,  291.00,   18.23,   12.83,   13.00,  294.47,  293.28,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    17.5,    35.5, 1013.69,   19.06,   95.07,      26,      48,      61,    4.09,  356.30,  291.08,   18.25,   12.86,   13.03,  294.50,  293.36,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    22.5,    40.5, 1013.09,   19.09,   95.03,      26,      48,      61,    4.17,  356.63,  291.15,   18.27,   12.88,   13.05,  294.54,  293.44,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    27.5,    45.5, 1012.49,   19.12,   94.99,      26,      48,      61,    4.25,  356.93,  291.23,   18.29,   12.91,   13.08,  294.57,  293.52,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    32.5,    50.5, 1011.92,   19.14,   94.95,      26,      48,      61,    4.37,  356.34,  291.30,   18.31,   12.93,   13.10,  294.59,  293.60,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    37.5,    55.5, 1011.25,   19.16,   94.91,      26,      48,      61,    4.48,  355.80,  291.38,   18.32,   12.95,   13.12,  294.62,  293.68,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    42.5,    60.5, 1010.65,   19.17,   94.89,      26,      48,      61,    4.72,  355.25,  291.44,   18.33,   12.96,   13.13,  294.63,  293.74,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    47.5,    65.5, 1010.17,   19.19,   94.85,      26,      48,      61,    4.87,  355.05,  291.49,   18.34,   12.98,   13.15,  294.65,  293.80,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    52.5,    70.5, 1009.43,   19.20,   94.81,      26,      47,      60,    5.06,  355.99,  291.57,   18.35,   12.99,   13.16,  294.67,  293.88,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    57.5,    75.5, 1008.96,   19.21,   94.77,      26,      47,      60,    5.16,  356.31,  291.62,   18.35,   13.00,   13.17,  294.68,  293.93,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    62.5,    80.5, 1008.27,   19.22,   94.71,      27,      48,      62,    5.29,  357.24,  291.68,   18.35,   13.01,   13.18,  294.69,  294.00,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    67.5,    85.5, 1007.78,   19.23,   94.65,      27,      49,      62,    5.33,  357.98,  291.73,   18.35,   13.01,   13.18,  294.70,  294.05,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    72.5,    90.5, 1007.01,   19.23,   94.58,      28,      49,      64,    5.42,  359.13,  291.80,   18.34,   13.02,   13.19,  294.71,  294.12,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    77.5,    95.5, 1006.50,   19.24,   94.52,      28,      49,      63,    5.45,  359.68,  291.85,   18.33,   13.02,   13.19,  294.71,  294.16,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    82.5,   100.5, 1006.09,   19.24,   94.46,      29,      48,      62,    5.47,    0.22,  291.88,   18.33,   13.02,   13.19,  294.71,  294.20,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    87.5,   105.5, 1005.49,   19.24,   94.35,      29,      48,      61,    5.50,    0.81,  291.94,   18.31,   13.01,   13.19,  294.72,  294.25,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    92.5,   110.5, 1004.90,   19.25,   94.22,      30,      49,      62,    5.52,    1.02,  291.99,   18.30,   13.01,   13.18,  294.72,  294.31,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
    97.5,   115.5, 1004.33,   19.25,   94.08,      31,      50,      62,    5.57,    1.72,  292.04,   18.28,   13.00,   13.17,  294.72,  294.36,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   102.5,   120.5, 1003.74,   19.26,   93.92,      31,      50,      62,    5.62,    2.52,  292.10,   18.25,   12.99,   13.16,  294.73,  294.41,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   107.5,   125.5, 1003.14,   19.27,   93.74,      31,      50,      62,    5.66,    3.10,  292.15,   18.23,   12.98,   13.15,  294.73,  294.47,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   112.5,   130.5, 1002.55,   19.27,   93.55,      31,      50,      62,    5.72,    3.38,  292.21,   18.21,   12.97,   13.14,  294.74,  294.52,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   117.5,   135.5, 1002.14,   19.28,   93.41,      31,      50,      62,    5.75,    3.33,  292.25,   18.19,   12.96,   13.13,  294.74,  294.56,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   122.5,   140.5, 1001.54,   19.29,   93.20,      31,      50,      62,    5.82,    3.87,  292.31,   18.16,   12.94,   13.11,  294.75,  294.62,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   127.5,   145.5, 1000.91,   19.30,   92.97,      31,      50,      62,    5.86,    4.01,  292.37,   18.13,   12.93,   13.10,  294.76,  294.68,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   132.5,   150.5, 1000.35,   19.31,   92.73,      30,      49,      61,    5.91,    4.06,  292.43,   18.10,   12.91,   13.08,  294.77,  294.74,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   137.5,   155.5,  999.74,   19.32,   92.48,      28,      47,      59,    5.93,    4.34,  292.50,   18.07,   12.89,   13.06,  294.78,  294.80,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   142.5,   160.5,  999.12,   19.34,   92.23,      27,      46,      57,    5.94,    4.55,  292.56,   18.04,   12.88,   13.05,  294.79,  294.86,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   147.5,   165.5,  998.49,   19.35,   91.97,      27,      46,      58,    5.94,    4.65,  292.63,   18.01,   12.86,   13.03,  294.80,  294.93,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   152.5,   170.5,  998.08,   19.36,   91.80,      27,      46,      58,    5.93,    4.71,  292.67,   17.99,   12.85,   13.02,  294.81,  294.97,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   157.5,   175.5,  997.50,   19.38,   91.55,      27,      46,      58,    5.93,    5.02,  292.74,   17.96,   12.83,   13.00,  294.82,  295.03,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   162.5,   180.5,  996.80,   19.39,   91.30,      27,      46,      58,    5.94,    5.33,  292.81,   17.94,   12.82,   12.99,  294.83,  295.10,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   167.5,   185.5,  996.18,   19.40,   91.14,      27,      46,      58,    5.92,    5.58,  292.87,   17.92,   12.81,   12.98,  294.84,  295.16,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   172.5,   190.5,  995.72,   19.41,   90.91,      27,      46,      58,    5.91,    5.74,  292.92,   17.89,   12.80,   12.96,  294.85,  295.21,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   177.5,   195.5,  995.01,   19.43,   90.68,      27,      46,      58,    5.89,    5.88,  292.99,   17.86,   12.78,   12.95,  294.86,  295.28,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   182.5,   200.5,  994.50,   19.44,   90.48,      27,      46,      58,    5.87,    6.36,  293.05,   17.83,   12.77,   12.93,  294.86,  295.33,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   187.5,   205.5,  993.78,   19.44,   90.29,      26,      44,      55,    5.84,    6.75,  293.11,   17.81,   12.76,   12.92,  294.87,  295.40,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   192.5,   210.5,  993.31,   19.45,   90.12,      26,      44,      55,    5.83,    7.00,  293.16,   17.78,   12.74,   12.91,  294.87,  295.44,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   197.5,   215.5,  992.53,   19.45,   89.96,      26,      44,      55,    5.79,    7.56,  293.22,   17.75,   12.73,   12.89,  294.87,  295.50,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   202.5,   220.5,  992.03,   19.44,   89.87,      26,      44,      55,    5.78,    7.62,  293.26,   17.74,   12.72,   12.89,  294.87,  295.54,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   207.5,   225.5,  991.63,   19.44,   89.79,      26,      44,      55,    5.77,    7.67,  293.30,   17.72,   12.71,   12.88,  294.86,  295.57,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   212.5,   230.5,  991.05,   19.43,   89.69,      26,      44,      55,    5.76,    7.80,  293.34,   17.69,   12.70,   12.86,  294.85,  295.61,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   217.5,   235.5,  990.44,   19.42,   89.61,      26,      44,      55,    5.76,    8.03,  293.38,   17.67,   12.69,   12.85,  294.84,  295.65,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   222.5,   240.5,  990.03,   19.41,   89.56,      26,      44,      55,    5.76,    8.17,  293.40,   17.65,   12.68,   12.84,  294.83,  295.67,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   227.5,   245.5,  989.44,   19.40,   89.51,      26,      44,      55,    5.74,    8.01,  293.44,   17.62,   12.67,   12.83,  294.81,  295.70,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   232.5,   250.5,  988.86,   19.38,   89.47,      26,      44,      55,    5.73,    7.84,  293.47,   17.60,   12.65,   12.82,  294.79,  295.73,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   237.5,   255.5,  988.25,   19.36,   89.44,      25,      43,      53,    5.71,    8.42,  293.50,   17.58,   12.64,   12.80,  294.77,  295.76,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   242.5,   260.5,  987.65,   19.34,   89.42,      22,      39,      48,    5.69,    8.73,  293.53,   17.55,   12.63,   12.79,  294.74,  295.79,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
